file_path,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label
E:/distressdetection/dataset\Actor_01\03-01-03-02-02-01-01.wav,-554.2307,70.283676,-10.080169,11.619575,-1.2718133,10.0290985,-6.932471,-0.29826084,-9.17895,-6.3009877,-12.87689,-5.1817317,3.789686,0
E:/distressdetection/dataset\Actor_01\03-01-03-02-02-02-01.wav,-568.1388,70.80917,-8.760222,11.967098,-2.9723809,10.001248,-8.551405,0.02781801,-9.052507,-6.3288474,-12.138224,-7.093578,1.7016895,0
E:/distressdetection/dataset\Actor_01\03-01-04-01-01-01-01.wav,-715.8727,74.985306,2.9195237,11.441712,6.960729,13.466071,-6.72605,4.7315598,-6.0603504,-5.0608444,-7.6180463,-3.5482144,-1.2796025,0
E:/distressdetection/dataset\Actor_01\03-01-04-01-01-02-01.wav,-732.4854,80.96551,3.486698,13.03123,8.979398,14.107941,-4.78729,6.040529,-4.208775,-5.16262,-7.1502514,-4.6642747,-0.3132725,0
E:/distressdetection/dataset\Actor_01\03-01-04-01-02-01-01.wav,-766.6507,73.99263,2.4763806,10.077653,7.9288044,11.792142,-5.2503986,4.038565,-4.807725,-4.9669833,-7.7130547,-2.5745971,0.20226562,0
E:/distressdetection/dataset\Actor_01\03-01-04-01-02-02-01.wav,-736.81494,70.96664,4.8449197,13.2525215,7.9328127,11.802074,-4.9299836,6.692443,-3.7731934,-5.046368,-8.592158,-2.9672074,-0.14794531,0
E:/distressdetection/dataset\Actor_01\03-01-04-02-01-01-01.wav,-704.1285,77.837975,5.096841,14.805322,8.49169,14.999446,-6.490629,5.851003,-5.3327923,-4.5298414,-6.2781534,-1.552901,0.51038957,0
E:/distressdetection/dataset\Actor_01\03-01-04-02-01-02-01.wav,-652.2412,69.28093,-3.6923711,11.728852,3.0127633,11.101811,-6.1069927,-1.5688689,-6.384501,-5.752694,-10.740143,-4.3840003,1.180043,0
E:/distressdetection/dataset\Actor_01\03-01-04-02-02-01-01.wav,-650.43463,71.005745,-1.6740128,11.137108,6.426337,11.243235,-6.4243813,1.0434883,-7.5295334,-6.578289,-13.766916,-3.7808657,1.1671071,0
E:/distressdetection/dataset\Actor_01\03-01-04-02-02-02-01.wav,-636.48676,70.95319,-4.674072,14.9717245,3.303352,11.239858,-7.639233,1.0996048,-7.3877835,-5.972332,-11.932848,-3.008971,1.6879239,0
E:/distressdetection/dataset\Actor_01\03-01-05-01-01-01-01.wav,-578.9886,62.405315,-8.723745,13.807444,1.7894554,6.853797,-6.7793736,1.681231,-3.1294827,-0.87246543,-9.711343,-3.9222546,1.1898443,1
E:/distressdetection/dataset\Actor_01\03-01-05-01-01-02-01.wav,-558.0903,60.273037,-9.1174965,13.649889,-2.485257,6.0296597,-7.8237543,0.52188706,-7.946145,-5.875875,-9.344623,-5.446145,-1.7070967,1
E:/distressdetection/dataset\Actor_01\03-01-05-01-02-01-01.wav,-595.0243,58.63152,-2.327618,13.655263,2.586828,7.25531,-6.0467424,2.112173,-5.7803307,-4.3421254,-9.432346,-3.4377162,-0.09518726,1
E:/distressdetection/dataset\Actor_01\03-01-05-01-02-02-01.wav,-557.4183,59.952057,-3.6888146,12.916796,-0.0137892505,8.49737,-7.3896728,1.7407537,-4.216524,-5.3085866,-10.202172,-4.530848,0.68083215,1
E:/distressdetection/dataset\Actor_01\03-01-05-02-01-01-01.wav,-382.96606,53.877857,-23.295197,4.5904512,-9.281444,-0.87772375,-10.370431,-2.3168542,-15.354205,-8.7570095,-11.345289,-7.9053793,-5.038463,1
E:/distressdetection/dataset\Actor_01\03-01-05-02-01-02-01.wav,-398.33093,52.28169,-28.397718,12.267398,-10.859696,3.720289,-12.748709,-1.972765,-11.157867,-6.1966987,-13.095329,-9.452902,-1.8068535,1
E:/distressdetection/dataset\Actor_01\03-01-05-02-02-01-01.wav,-433.96576,53.986023,-22.437214,10.337305,-7.014483,4.4466424,-9.936925,-1.8927364,-10.486032,-7.3606787,-12.758347,-6.5644193,-1.5250014,1
E:/distressdetection/dataset\Actor_01\03-01-05-02-02-02-01.wav,-338.97913,44.90493,-24.296865,3.9212265,-13.2807255,1.4560022,-13.051088,-4.972659,-16.886797,-7.3687496,-14.381403,-8.851163,-2.0966728,1
E:/distressdetection/dataset\Actor_01\03-01-06-01-01-01-01.wav,-620.86926,72.92555,3.069638,15.845615,5.0054407,15.862975,-6.974336,2.558235,-6.399506,-6.247275,-8.1957035,-2.013455,0.49049407,1
E:/distressdetection/dataset\Actor_01\03-01-06-01-01-02-01.wav,-635.4471,72.67471,-2.951787,10.282644,2.1318831,12.7642765,-7.8575134,0.48864105,-9.560815,-9.200944,-11.435256,-3.8575084,0.2552432,1
E:/distressdetection/dataset\Actor_01\03-01-06-01-02-01-01.wav,-646.4345,74.19784,4.969642,20.310244,7.6789846,16.816557,-2.4131546,6.36743,-4.006638,-2.782018,-5.3320427,0.04226609,2.033845,1
E:/distressdetection/dataset\Actor_01\03-01-06-01-02-02-01.wav,-648.97406,78.302345,-1.7424381,14.431586,6.2418766,14.4565525,-5.611793,4.6549683,-8.24646,-6.148351,-7.476689,-0.2118336,0.5937344,1
E:/distressdetection/dataset\Actor_01\03-01-06-02-01-01-01.wav,-474.58643,74.83671,-14.510592,9.21777,-4.863628,11.183943,-1.273364,3.74777,-9.133905,-9.742279,-9.53531,-3.4553623,3.3027103,1
E:/distressdetection/dataset\Actor_01\03-01-06-02-01-02-01.wav,-433.3269,61.518326,-13.174423,0.06451048,-7.5669017,10.038398,-4.907188,-2.5612373,-12.315668,-12.537487,-11.446819,-8.186242,-1.3809906,1
E:/distressdetection/dataset\Actor_01\03-01-06-02-02-01-01.wav,-400.78815,62.260452,-16.549139,5.909251,-9.460677,5.056807,-7.2992,0.83104795,-14.260063,-13.714011,-12.319691,-9.456751,-2.0069785,1
E:/distressdetection/dataset\Actor_01\03-01-06-02-02-02-01.wav,-452.25665,64.263695,-13.6770115,5.033825,-7.836293,9.111504,-4.4770555,-1.2374461,-15.050168,-9.26992,-12.923943,-9.072722,2.0990417,1
E:/distressdetection/dataset\Actor_01\03-01-07-01-01-01-01.wav,-681.2215,78.88362,0.12867522,11.79581,0.9876598,13.565272,-6.526605,3.7329946,-9.42451,-3.3148096,-10.4992075,-4.464769,2.7165937,0
E:/distressdetection/dataset\Actor_01\03-01-07-01-01-02-01.wav,-653.0073,65.54431,1.4677504,11.092944,-4.316812,13.434914,-7.126188,1.5093213,-10.470179,-2.389424,-11.8359375,-3.84144,0.7690639,0
E:/distressdetection/dataset\Actor_01\03-01-07-01-02-01-01.wav,-700.34393,84.596725,5.775723,14.642682,3.4342353,12.270109,-4.2028184,8.19937,-12.218773,-3.790657,-6.892418,0.20407355,-0.9369471,0
E:/distressdetection/dataset\Actor_01\03-01-07-01-02-02-01.wav,-693.2808,68.03404,1.9750909,11.899816,2.2685304,9.418974,-4.04369,7.1341934,-12.038191,-2.4839942,-6.6857424,0.20061964,1.3775651,0
E:/distressdetection/dataset\Actor_01\03-01-07-02-01-01-01.wav,-514.209,61.11099,-6.6934342,7.119903,-13.141234,1.2704731,-7.1054397,-1.4572971,-14.000561,-11.953342,-9.292232,-6.934684,-2.621089,0
E:/distressdetection/dataset\Actor_01\03-01-07-02-01-02-01.wav,-520.6225,55.43349,-12.775218,10.560292,-9.087996,3.5373573,-11.609045,-4.7857094,-18.184767,-8.228541,-6.405702,-6.278636,-1.595709,0
E:/distressdetection/dataset\Actor_01\03-01-07-02-02-01-01.wav,-549.6085,59.821617,3.9864697,18.777025,-10.736347,5.5345674,-5.5263953,0.8657929,-15.8455925,-6.6470613,-3.756177,-5.951642,-7.9454827,0
E:/distressdetection/dataset\Actor_01\03-01-07-02-02-02-01.wav,-525.6453,56.05402,-0.55531645,9.288038,-6.9809046,5.484957,-6.4863153,-1.6713593,-15.754068,-7.530371,-6.282212,-4.10962,-4.791883,0
E:/distressdetection/dataset\Actor_01\03-01-08-01-01-01-01.wav,-679.2995,64.041115,2.5253556,9.743006,2.0743146,10.626677,-5.171599,0.6371584,-5.9340224,-3.8285363,-6.00671,-5.4047394,1.9098551,0
E:/distressdetection/dataset\Actor_01\03-01-08-01-01-02-01.wav,-707.25446,65.81219,0.39867368,8.45983,4.743755,11.846096,-4.4687295,-0.018804843,-6.092442,-3.4243653,-7.3909144,-1.4570595,1.3017485,0
E:/distressdetection/dataset\Actor_01\03-01-08-01-02-01-01.wav,-689.39404,70.91036,1.6139975,13.872519,3.8284073,11.299436,-6.1581707,3.8699164,-6.6757092,-3.8586779,-8.293786,-1.8832899,1.6591705,0
E:/distressdetection/dataset\Actor_01\03-01-08-01-02-02-01.wav,-698.8534,63.96066,-0.88586384,11.611211,0.27096096,7.4793377,-7.8976097,2.7589517,-6.113208,-3.0909567,-7.139969,-3.486652,0.36065257,0
E:/distressdetection/dataset\Actor_01\03-01-08-02-01-01-01.wav,-628.95764,67.507996,-5.0366893,10.8200655,0.34334686,12.224991,-7.1534066,0.43669897,-7.598814,-3.079836,-7.990679,-4.641811,3.1423318,0
E:/distressdetection/dataset\Actor_01\03-01-08-02-01-02-01.wav,-583.7002,58.7757,-6.3594966,10.300801,-1.2749369,8.558703,-7.9135084,1.1394339,-7.8799667,-4.2184925,-8.814162,-5.4635077,0.4683844,0
E:/distressdetection/dataset\Actor_01\03-01-08-02-02-01-01.wav,-629.17706,66.08909,-7.35269,13.902602,-1.7103955,10.309498,-8.481241,0.92026156,-6.696085,-6.425756,-10.449927,-1.7377803,-0.12092748,0
E:/distressdetection/dataset\Actor_01\03-01-08-02-02-02-01.wav,-610.95306,63.78429,-6.09838,10.515008,-2.8278024,8.334166,-5.722169,1.0251707,-10.117927,-5.266946,-8.199912,-4.9051867,0.6445216,0
E:/distressdetection/dataset\Actor_02\03-01-01-01-01-01-02.wav,-675.8518,68.959435,-4.962602,5.423141,0.609842,3.1607316,-9.528844,2.6474686,-9.230494,-3.492379,-2.775557,-0.8583371,-3.252905,0
E:/distressdetection/dataset\Actor_02\03-01-01-01-01-02-02.wav,-677.49725,66.73792,-7.066272,6.711427,2.317029,2.5784457,-9.735838,3.7399817,-9.666592,-1.5748338,-2.7584553,-1.9055327,-2.608649,0
E:/distressdetection/dataset\Actor_02\03-01-01-01-02-01-02.wav,-640.2968,64.62258,-5.6087337,3.4770446,-2.1005535,2.704671,-9.134014,2.263086,-9.458851,-4.599762,-3.9467952,-1.7240584,-3.9413574,0
E:/distressdetection/dataset\Actor_02\03-01-01-01-02-02-02.wav,-659.5008,61.314804,-5.997138,4.490148,-2.6454024,2.5160272,-10.72228,2.685003,-10.316002,-4.756049,-4.690621,-2.4549735,-4.5527906,0
E:/distressdetection/dataset\Actor_02\03-01-02-01-01-01-02.wav,-698.07587,70.690025,-2.29,12.190497,1.1434664,4.6190953,-9.343387,5.610262,-9.482477,-2.0852337,-2.5283892,-2.2907453,-2.3949482,0
E:/distressdetection/dataset\Actor_02\03-01-02-01-01-02-02.wav,-685.27014,66.034645,-5.3122635,8.085226,-0.22538432,3.311465,-9.604638,4.020546,-10.162641,-3.7117696,-2.5037436,-3.8690767,-2.9866402,0
E:/distressdetection/dataset\Actor_02\03-01-02-01-02-01-02.wav,-688.55475,65.21492,-4.006218,9.36352,-3.746424,5.08095,-8.949337,2.1395152,-9.365404,-4.1520343,-4.6722927,-1.6119943,-5.209119,0
E:/distressdetection/dataset\Actor_02\03-01-02-01-02-02-02.wav,-674.3035,65.86995,-5.672625,4.343221,-4.5438156,3.119926,-10.6374445,1.4574045,-11.619745,-5.8630357,-5.0011463,-2.872971,-5.937071,0
E:/distressdetection/dataset\Actor_02\03-01-02-02-01-01-02.wav,-676.9464,62.021435,-4.284783,9.674073,-0.5778351,2.8325372,-10.690165,2.9925203,-7.7227254,-4.6659026,-4.6269574,-3.018172,-2.5841205,0
E:/distressdetection/dataset\Actor_02\03-01-02-02-01-02-02.wav,-685.354,64.8416,-6.25909,9.039537,-1.8504004,1.9620017,-10.030852,4.2898245,-10.935775,-3.8740454,-4.0803866,-3.7543137,-1.8145918,0
E:/distressdetection/dataset\Actor_02\03-01-02-02-02-01-02.wav,-680.23694,60.510754,-5.488641,8.456001,-7.207877,3.0568423,-8.93921,1.3651199,-11.655978,-6.4648137,-6.3382726,-2.715138,-5.363808,0
E:/distressdetection/dataset\Actor_02\03-01-02-02-02-02-02.wav,-676.8966,63.290787,-2.5447514,9.512606,-5.238165,4.0801325,-8.802563,2.9575653,-12.019953,-4.360211,-5.64748,-0.88004524,-4.214632,0
E:/distressdetection/dataset\Actor_02\03-01-03-01-01-01-02.wav,-615.3698,64.712395,-17.525738,1.0721176,2.1432567,-0.7451552,-10.137992,1.4398385,-9.424702,-8.1469345,-1.7783351,-3.5647104,-4.9699297,0
E:/distressdetection/dataset\Actor_02\03-01-03-01-01-02-02.wav,-636.3284,67.115746,-15.966241,4.9848886,3.678653,0.79736257,-11.596442,2.4776044,-10.262893,-7.0668063,-1.8124378,-3.9394994,-5.9389787,0
E:/distressdetection/dataset\Actor_02\03-01-03-01-02-01-02.wav,-623.5609,64.29266,-16.984367,1.9863328,-0.77768683,-1.0957052,-10.206499,-1.0956904,-12.033014,-9.559129,-2.6313572,-3.4545598,-7.2920847,0
E:/distressdetection/dataset\Actor_02\03-01-03-01-02-02-02.wav,-621.7522,65.94344,-13.400203,4.6448717,0.7613918,0.4328808,-9.629009,-0.96714395,-10.922279,-7.44106,-1.0519143,-2.3797553,-6.1604385,0
E:/distressdetection/dataset\Actor_02\03-01-03-02-01-01-02.wav,-507.97903,55.327007,-24.597252,-2.29639,2.2030914,-5.13373,-15.9404745,-2.384277,-10.304943,-11.138833,-1.3275423,-7.337683,-9.678197,0
E:/distressdetection/dataset\Actor_02\03-01-03-02-01-02-02.wav,-509.58395,59.14795,-25.002707,-2.6429157,1.5179118,-3.107946,-16.754808,-3.8577054,-9.711455,-10.388177,-2.202863,-6.085075,-8.971969,0
E:/distressdetection/dataset\Actor_02\03-01-03-02-02-01-02.wav,-564.886,59.037647,-17.660675,-0.29245836,0.6204667,-0.5198708,-12.686069,-5.5435715,-11.660214,-10.052526,-0.9895535,-3.7621117,-9.788853,0
E:/distressdetection/dataset\Actor_02\03-01-03-02-02-02-02.wav,-558.6029,57.735268,-17.925465,0.6474384,-0.6263508,-1.7978332,-13.934751,-3.521386,-10.3474245,-10.2803755,-3.0889096,-5.3283057,-10.227825,0
E:/distressdetection/dataset\Actor_02\03-01-04-01-01-01-02.wav,-706.5462,70.95973,-4.136592,6.6439753,-0.8450789,3.2053216,-10.462762,2.9966118,-11.937458,-4.443748,-5.141396,-3.6179626,-4.571275,0
E:/distressdetection/dataset\Actor_02\03-01-04-01-01-02-02.wav,-696.2251,72.61911,-5.971652,6.434627,-0.2762452,2.8364089,-9.820615,3.4400737,-9.201118,-5.085862,-4.289515,-2.8661973,-2.9726012,0
E:/distressdetection/dataset\Actor_02\03-01-04-01-02-01-02.wav,-683.29425,59.915516,-0.35981494,6.508976,-1.4676181,2.8750477,-8.309567,-0.5963472,-11.488851,-5.7631593,-3.1498957,-3.2484865,-5.245757,0
E:/distressdetection/dataset\Actor_02\03-01-04-01-02-02-02.wav,-700.86566,62.921898,-2.619947,8.2129135,-0.48985144,4.108222,-7.795467,-0.023358103,-9.3188505,-6.341343,-3.9372575,-1.853161,-4.594819,0
E:/distressdetection/dataset\Actor_02\03-01-04-02-01-01-02.wav,-684.31573,62.340847,-8.324207,5.9357667,-1.9212881,-1.0301524,-10.189304,-1.967844,-11.886773,-8.71532,-5.9609404,-3.7124434,-6.0599976,0
E:/distressdetection/dataset\Actor_02\03-01-04-02-01-02-02.wav,-702.70337,67.9131,-3.629893,8.076855,-0.73930705,2.7110705,-8.9391775,-1.2227178,-11.854862,-6.6605196,-6.6040406,-2.7997153,-5.2018313,0
E:/distressdetection/dataset\Actor_02\03-01-04-02-02-01-02.wav,-688.776,60.152584,-4.9036407,7.6960406,-3.1103747,1.7679316,-8.34617,-2.3499694,-12.538821,-9.191037,-7.881257,-3.7299984,-7.1819487,0
E:/distressdetection/dataset\Actor_02\03-01-04-02-02-02-02.wav,-687.3986,61.031883,-7.11638,8.069417,-3.8432615,2.7920034,-11.200945,-3.3254013,-13.323005,-7.9586997,-6.2958865,-1.9197619,-7.7417617,0
E:/distressdetection/dataset\Actor_02\03-01-05-01-01-01-02.wav,-588.2537,59.247963,-8.007299,4.542206,-1.3240749,0.97312605,-9.401972,2.055399,-7.919817,-6.6781945,-1.9953741,-2.8655589,-2.086076,1
E:/distressdetection/dataset\Actor_02\03-01-05-01-01-02-02.wav,-564.9818,62.465103,-14.487927,3.4400377,-1.1810224,0.26285583,-10.752198,2.646129,-10.449388,-5.05966,-0.90070343,-1.5124356,-1.1195512,1
E:/distressdetection/dataset\Actor_02\03-01-05-01-02-01-02.wav,-602.7209,62.84519,-8.394002,6.589411,-4.3759093,1.4356266,-10.295984,3.8481052,-10.856516,-5.5122113,-4.1941566,-1.5423422,-4.7062216,1
E:/distressdetection/dataset\Actor_02\03-01-05-01-02-02-02.wav,-590.8822,59.8463,-14.2538395,4.344372,-5.582291,-0.55923235,-13.923412,3.8070235,-11.936244,-6.5984015,-4.050676,-2.3211436,-4.304013,1
E:/distressdetection/dataset\Actor_02\03-01-05-02-01-01-02.wav,-477.00308,51.98464,-22.43621,0.079662636,-4.303525,-6.375623,-13.338382,3.2944665,-10.27578,-8.972215,-0.73087966,-4.7898574,-4.3287773,1
E:/distressdetection/dataset\Actor_02\03-01-05-02-01-02-02.wav,-502.75406,55.81529,-22.514963,-0.38626757,-4.559094,-6.385681,-12.998574,5.385625,-8.096994,-8.746944,-1.6673539,-4.6842523,-4.3427157,1
E:/distressdetection/dataset\Actor_02\03-01-05-02-02-01-02.wav,-437.46176,46.474915,-25.999445,-5.8879867,-9.137497,-9.274363,-16.633015,1.2840623,-11.299039,-13.147175,-4.465234,-6.250961,-8.2641,1
E:/distressdetection/dataset\Actor_02\03-01-05-02-02-02-02.wav,-453.88705,48.402576,-28.487484,-3.6462314,-8.611464,-9.896744,-16.036991,2.3280637,-11.231367,-12.242676,-3.3367684,-5.9945483,-8.363049,1
E:/distressdetection/dataset\Actor_02\03-01-06-01-01-01-02.wav,-595.8171,59.382217,-25.655392,1.5161914,-4.8676615,-1.9652693,-16.650066,0.68378323,-14.741965,-8.69511,-4.6204305,-6.8369813,-6.595383,1
E:/distressdetection/dataset\Actor_02\03-01-06-01-01-02-02.wav,-599.1613,56.84228,-22.899435,-1.210327,-5.610211,-1.7112188,-14.993201,1.2717696,-14.38086,-10.10225,-4.706261,-5.4223394,-6.8581696,1
E:/distressdetection/dataset\Actor_02\03-01-06-01-02-01-02.wav,-584.6368,53.946198,-23.683254,1.0352305,-6.6190166,0.15367812,-15.050793,-0.9471065,-15.154127,-9.587488,-3.8004522,-3.3235002,-8.445857,1
E:/distressdetection/dataset\Actor_02\03-01-06-01-02-02-02.wav,-590.8616,50.688057,-24.538645,-3.347786,-7.2955213,0.35064092,-15.734378,-3.0930223,-17.794012,-10.360826,-3.7984352,-3.4389179,-9.616912,1
E:/distressdetection/dataset\Actor_02\03-01-06-02-01-01-02.wav,-535.523,44.54064,-30.301683,-4.1415024,-7.739762,-6.3114443,-17.439528,-2.251262,-12.8389,-10.43201,-4.374937,-3.2262971,-8.528458,1
E:/distressdetection/dataset\Actor_02\03-01-06-02-01-02-02.wav,-519.63324,42.272,-30.099941,-3.093581,-8.013828,-4.3675427,-18.46374,-2.3117518,-12.013569,-12.069893,-5.05816,-5.0358105,-9.207201,1
E:/distressdetection/dataset\Actor_02\03-01-06-02-02-01-02.wav,-515.9983,38.055786,-27.663738,-3.2252216,-11.483253,-1.9800559,-17.871073,-2.4275858,-12.107834,-9.330831,-5.251732,-4.981838,-10.160073,1
E:/distressdetection/dataset\Actor_02\03-01-06-02-02-02-02.wav,-508.61215,42.668716,-26.237993,-3.0115821,-10.191428,-2.5118136,-15.029951,-4.417139,-14.136554,-11.3241625,-2.822758,-3.4599664,-8.981435,1
E:/distressdetection/dataset\Actor_02\03-01-07-01-01-01-02.wav,-666.80176,72.579124,-11.815957,6.9202304,-2.7584271,0.749238,-5.3767095,1.8880272,-13.4000025,-4.9366508,-2.646663,-0.79795146,-4.509567,0
E:/distressdetection/dataset\Actor_02\03-01-07-01-01-02-02.wav,-676.8212,79.525734,-12.700563,8.421185,-1.8144246,-0.36520377,-5.796458,1.6079459,-12.252427,-7.24475,-3.7815435,-0.11595078,-3.9112654,0
E:/distressdetection/dataset\Actor_02\03-01-07-01-02-01-02.wav,-648.5525,72.06284,-7.534307,7.6733623,-3.249207,2.9102335,-6.597658,0.034335345,-10.93742,-7.287062,-3.40888,0.5971239,-6.967582,0
E:/distressdetection/dataset\Actor_02\03-01-07-01-02-02-02.wav,-653.723,71.55224,-12.836388,6.1638565,-2.0914633,0.5635095,-8.865092,-0.99780977,-13.018609,-8.319363,-1.9783113,0.5650333,-8.12291,0
E:/distressdetection/dataset\Actor_02\03-01-07-02-01-01-02.wav,-610.62225,69.0307,-17.941748,7.085806,-4.9329934,-2.7218773,-9.898748,1.7689624,-12.767783,-8.337047,-3.3750827,-1.2256464,-5.975884,0
E:/distressdetection/dataset\Actor_02\03-01-07-02-01-02-02.wav,-604.80096,67.3899,-13.988151,8.43896,-4.720516,-2.0792239,-7.776218,2.8520653,-10.106051,-6.681344,-3.561178,0.10706911,-4.1022253,0
E:/distressdetection/dataset\Actor_02\03-01-07-02-02-01-02.wav,-578.7148,68.02484,-12.293321,3.3390753,-6.655989,-2.293285,-8.483037,-3.113781,-14.665143,-8.832307,-3.131414,-1.8985447,-9.200716,0
E:/distressdetection/dataset\Actor_02\03-01-07-02-02-02-02.wav,-587.31866,68.01829,-14.568759,4.6844726,-6.2608867,-1.0763566,-8.895313,-2.3191297,-12.355954,-7.5472345,-3.6468916,-0.09318428,-7.302063,0
E:/distressdetection/dataset\Actor_02\03-01-08-01-01-01-02.wav,-601.55707,56.22707,-14.788618,5.832396,-0.5447873,1.7596614,-13.9631815,3.9500954,-7.4126754,-1.8806309,-2.538129,-3.536913,-2.970739,0
E:/distressdetection/dataset\Actor_02\03-01-08-01-01-02-02.wav,-628.42194,57.84643,-15.041886,1.5338743,-2.6143193,1.5111591,-12.51113,3.1742525,-7.906259,-3.803382,-4.8641777,-3.9710584,-5.7344947,0
E:/distressdetection/dataset\Actor_02\03-01-08-01-02-01-02.wav,-622.95514,55.443245,-11.811409,2.722286,-3.9047043,0.62918544,-12.626839,2.8669498,-9.456175,-4.9436717,-3.3962889,-2.588792,-6.8830247,0
E:/distressdetection/dataset\Actor_02\03-01-08-01-02-02-02.wav,-615.47516,57.472298,-15.626009,3.1130269,-2.8661315,1.6390876,-15.600986,0.78077304,-11.471948,-5.5486,-5.0323143,-3.548146,-6.5748534,0
E:/distressdetection/dataset\Actor_02\03-01-08-02-01-01-02.wav,-564.7623,54.849766,-19.824144,4.487412,-4.223751,0.4460904,-12.74342,3.2136304,-8.929535,-4.848646,-3.440392,-3.9251094,-4.478769,0
E:/distressdetection/dataset\Actor_02\03-01-08-02-01-02-02.wav,-574.09515,56.993507,-20.57765,0.95600295,-4.247905,-1.0783086,-14.463271,3.3202925,-8.172607,-4.008372,-4.2820487,-3.434837,-4.926553,0
